month_index,month_label,year,month,scalar_monthwise_any_rank,scalar_monthwise_n_significant_ranks,scalar_global_rank_any_rank,scalar_global_rank_n_significant_ranks,scalar_global_all_ranks_any_rank,scalar_global_all_ranks_n_significant_ranks,bottleneck_monthwise_sheet,bottleneck_global_plane,old_max_simulated_global_plane
0,2007_1,2007,1,True,5,False,0,False,0,False,False,False
1,2007_2,2007,2,True,3,False,0,False,0,False,False,False
2,2007_3,2007,3,True,3,False,0,False,0,False,False,False
3,2007_4,2007,4,True,2,False,0,False,0,False,False,False
4,2007_5,2007,5,True,6,False,0,False,0,False,False,False
5,2007_6,2007,6,True,1,False,0,False,0,True,False,False
6,2007_7,2007,7,True,2,False,0,False,0,False,False,False
7,2007_8,2007,8,True,2,False,0,False,0,False,False,False
8,2007_9,2007,9,False,0,False,0,False,0,False,False,False
9,2007_10,2007,10,True,4,False,0,False,0,False,False,False
10,2007_11,2007,11,True,5,False,0,False,0,False,False,False
11,2007_12,2007,12,True,4,False,0,False,0,False,False,False
12,2008_1,2008,1,False,0,False,0,False,0,False,False,False
13,2008_2,2008,2,True,2,False,0,False,0,False,False,False
14,2008_3,2008,3,False,0,False,0,False,0,False,False,False
15,2008_4,2008,4,True,1,False,0,False,0,False,False,False
16,2008_5,2008,5,True,2,False,0,False,0,False,False,False
17,2008_6,2008,6,True,2,False,0,False,0,False,False,False
18,2008_7,2008,7,False,0,False,0,False,0,False,False,False
19,2008_8,2008,8,False,0,False,0,False,0,False,False,False
20,2008_9,2008,9,True,4,False,0,False,0,False,False,False
21,2008_10,2008,10,True,1,False,0,False,0,True,False,False
22,2008_11,2008,11,False,0,False,0,False,0,False,False,False
23,2008_12,2008,12,True,4,False,0,False,0,False,False,False
24,2009_1,2009,1,True,1,False,0,False,0,False,False,False
25,2009_2,2009,2,False,0,False,0,False,0,False,False,False
26,2009_3,2009,3,False,0,False,0,False,0,False,False,False
27,2009_4,2009,4,False,0,False,0,False,0,False,False,False
28,2009_5,2009,5,False,0,False,0,False,0,False,False,False
29,2009_6,2009,6,True,1,False,0,False,0,False,False,False
30,2009_7,2009,7,True,1,False,0,False,0,False,False,False
31,2009_8,2009,8,False,0,False,0,False,0,False,False,False
32,2009_9,2009,9,False,0,False,0,False,0,False,False,False
33,2009_10,2009,10,True,6,False,0,False,0,False,False,False
34,2009_11,2009,11,False,0,False,0,False,0,False,False,False
35,2009_12,2009,12,False,0,False,0,False,0,False,False,False
36,2010_1,2010,1,False,0,False,0,False,0,False,False,False
37,2010_2,2010,2,True,2,False,0,False,0,False,False,False
38,2010_3,2010,3,True,5,False,0,False,0,False,False,False
39,2010_4,2010,4,True,3,False,0,False,0,False,False,False
40,2010_5,2010,5,True,4,False,0,False,0,False,False,False
41,2010_6,2010,6,True,2,False,0,False,0,False,False,False
42,2010_7,2010,7,True,4,False,0,False,0,False,False,False
43,2010_8,2010,8,True,3,False,0,False,0,False,False,False
44,2010_9,2010,9,True,1,False,0,False,0,True,False,False
45,2010_10,2010,10,True,4,False,0,False,0,False,False,False
46,2010_11,2010,11,False,0,False,0,False,0,False,False,False
47,2010_12,2010,12,False,0,False,0,False,0,False,False,False
48,2011_1,2011,1,True,6,False,0,False,0,False,False,False
49,2011_2,2011,2,False,0,False,0,False,0,False,False,False
50,2011_3,2011,3,True,4,False,0,False,0,False,False,False
51,2011_4,2011,4,True,1,False,0,False,0,False,False,False
52,2011_5,2011,5,True,4,False,0,False,0,False,False,False
53,2011_6,2011,6,True,2,False,0,False,0,True,False,False
54,2011_7,2011,7,False,0,False,0,False,0,False,False,False
55,2011_8,2011,8,True,5,False,0,False,0,False,False,False
56,2011_9,2011,9,True,3,False,0,False,0,False,False,False
57,2011_10,2011,10,True,4,False,0,False,0,True,False,False
58,2011_11,2011,11,True,2,False,0,False,0,True,False,False
59,2011_12,2011,12,True,2,False,0,False,0,False,False,False
60,2012_1,2012,1,True,1,False,0,False,0,False,False,False
61,2012_2,2012,2,False,0,False,0,False,0,False,False,False
62,2012_3,2012,3,True,6,False,0,False,0,False,False,False
63,2012_4,2012,4,True,4,False,0,False,0,True,False,False
64,2012_5,2012,5,True,1,False,0,False,0,False,False,False
65,2012_6,2012,6,True,2,False,0,False,0,False,False,False
66,2012_7,2012,7,False,0,False,0,False,0,False,False,False
67,2012_8,2012,8,True,6,False,0,False,0,False,False,False
68,2012_9,2012,9,True,2,False,0,False,0,True,False,False
69,2012_10,2012,10,True,1,False,0,False,0,False,False,False
70,2012_11,2012,11,True,9,False,0,False,0,True,False,False
71,2012_12,2012,12,True,1,False,0,False,0,False,False,False
72,2013_1,2013,1,True,4,False,0,False,0,False,False,False
73,2013_2,2013,2,False,0,False,0,False,0,False,False,False
74,2013_3,2013,3,True,9,False,0,False,0,False,False,False
75,2013_4,2013,4,True,8,False,0,False,0,False,False,False
76,2013_5,2013,5,True,7,False,0,False,0,False,False,False
77,2013_6,2013,6,True,2,False,0,False,0,False,False,False
78,2013_7,2013,7,False,0,False,0,False,0,False,False,False
79,2013_8,2013,8,True,4,False,0,False,0,False,False,False
80,2013_9,2013,9,False,0,False,0,False,0,False,False,False
81,2013_10,2013,10,False,0,False,0,False,0,False,False,False
82,2013_11,2013,11,True,3,False,0,False,0,True,False,False
83,2013_12,2013,12,True,4,False,0,False,0,False,False,False
84,2014_1,2014,1,True,2,False,0,False,0,False,False,False
85,2014_2,2014,2,True,4,False,0,False,0,False,False,False
86,2014_3,2014,3,True,1,False,0,False,0,False,False,False
87,2014_4,2014,4,False,0,False,0,False,0,False,False,False
88,2014_5,2014,5,True,6,False,0,False,0,True,False,False
89,2014_6,2014,6,True,3,False,0,False,0,False,False,False
90,2014_7,2014,7,True,1,False,0,False,0,False,False,False
91,2014_8,2014,8,True,1,False,0,False,0,False,False,False
92,2014_9,2014,9,True,2,False,0,False,0,False,False,False
93,2014_10,2014,10,True,1,False,0,False,0,False,False,False
94,2014_11,2014,11,True,7,False,0,False,0,False,False,False
95,2014_12,2014,12,True,2,False,0,False,0,False,False,False
96,2015_1,2015,1,True,2,False,0,False,0,False,False,False
97,2015_2,2015,2,False,0,False,0,False,0,False,False,False
98,2015_3,2015,3,True,1,False,0,False,0,False,False,False
99,2015_4,2015,4,True,8,False,0,False,0,False,False,False
100,2015_5,2015,5,False,0,False,0,False,0,False,False,False
101,2015_6,2015,6,True,1,False,0,False,0,False,False,False
102,2015_7,2015,7,True,3,False,0,False,0,False,False,False
103,2015_8,2015,8,True,3,False,0,False,0,True,False,False
104,2015_9,2015,9,True,4,False,0,False,0,False,False,False
105,2015_10,2015,10,False,0,False,0,False,0,False,False,False
106,2015_11,2015,11,False,0,False,0,False,0,False,False,False
107,2015_12,2015,12,True,1,False,0,False,0,False,False,False
108,2016_1,2016,1,True,2,False,0,False,0,True,False,False
109,2016_2,2016,2,True,1,False,0,False,0,False,False,False
110,2016_3,2016,3,True,1,False,0,False,0,False,False,False
111,2016_4,2016,4,True,1,False,0,False,0,False,False,False
112,2016_5,2016,5,True,3,False,0,False,0,False,False,False
113,2016_6,2016,6,True,6,False,0,False,0,False,False,False
114,2016_7,2016,7,True,6,False,0,False,0,False,False,False
115,2016_8,2016,8,True,6,False,0,False,0,False,False,False
116,2016_9,2016,9,True,9,False,0,False,0,False,False,False
117,2016_10,2016,10,True,5,False,0,False,0,False,False,False
118,2016_11,2016,11,True,8,False,0,False,0,False,False,False
119,2016_12,2016,12,True,7,False,0,False,0,False,False,False
120,2017_1,2017,1,True,1,False,0,False,0,False,False,False
121,2017_2,2017,2,True,10,False,0,False,0,False,False,False
122,2017_3,2017,3,True,2,False,0,False,0,False,False,False
123,2017_4,2017,4,True,6,False,0,False,0,False,False,False
124,2017_5,2017,5,True,3,False,0,False,0,False,False,False
125,2017_6,2017,6,True,8,False,0,False,0,False,False,False
126,2017_7,2017,7,True,5,False,0,False,0,False,False,False
127,2017_8,2017,8,True,2,False,0,False,0,False,False,False
128,2017_9,2017,9,True,1,False,0,False,0,False,False,False
129,2017_10,2017,10,True,3,False,0,False,0,False,False,False
130,2017_11,2017,11,True,9,False,0,False,0,False,False,False
131,2017_12,2017,12,True,1,False,0,False,0,False,False,False
132,2018_1,2018,1,False,0,False,0,False,0,False,False,False
133,2018_2,2018,2,True,1,False,0,False,0,False,False,False
134,2018_3,2018,3,True,2,False,0,False,0,False,False,False
135,2018_4,2018,4,True,6,False,0,False,0,False,False,False
136,2018_5,2018,5,False,0,False,0,False,0,False,False,False
137,2018_6,2018,6,True,8,False,0,False,0,True,False,False
138,2018_7,2018,7,True,1,False,0,False,0,False,False,False
139,2018_8,2018,8,False,0,False,0,False,0,False,False,False
140,2018_9,2018,9,True,1,False,0,False,0,False,False,False
141,2018_10,2018,10,True,3,False,0,False,0,False,False,False
142,2018_11,2018,11,True,3,False,0,False,0,False,False,False
143,2018_12,2018,12,True,7,False,0,False,0,False,False,False
144,2019_1,2019,1,True,9,False,0,False,0,False,False,False
145,2019_2,2019,2,True,6,False,0,False,0,False,False,False
146,2019_3,2019,3,True,6,False,0,False,0,False,False,False
147,2019_4,2019,4,True,6,False,0,False,0,False,False,False
148,2019_5,2019,5,True,1,False,0,False,0,False,False,False
149,2019_6,2019,6,True,3,False,0,False,0,False,False,False
150,2019_7,2019,7,False,0,False,0,False,0,False,False,False
151,2019_8,2019,8,True,10,False,0,False,0,False,False,False
152,2019_9,2019,9,False,0,False,0,False,0,False,False,False
153,2019_10,2019,10,True,3,False,0,False,0,False,False,False
154,2019_11,2019,11,True,8,False,0,False,0,False,False,False
155,2019_12,2019,12,False,0,False,0,False,0,False,False,False
156,2020_1,2020,1,False,0,False,0,False,0,False,False,False
157,2020_2,2020,2,True,8,False,0,False,0,True,False,False
158,2020_3,2020,3,True,1,False,0,False,0,False,False,False
159,2020_4,2020,4,True,9,False,0,False,0,False,False,False
160,2020_5,2020,5,True,6,False,0,False,0,False,False,False
161,2020_6,2020,6,True,4,False,0,False,0,False,False,False
162,2020_7,2020,7,True,4,False,0,False,0,False,False,False
163,2020_8,2020,8,True,2,False,0,False,0,False,False,False
164,2020_9,2020,9,True,7,False,0,False,0,False,False,False
165,2020_10,2020,10,True,4,False,0,False,0,False,False,False
166,2020_11,2020,11,True,1,False,0,False,0,False,False,False
167,2020_12,2020,12,True,6,True,2,False,0,False,False,False
168,2021_1,2021,1,True,1,False,0,False,0,False,False,False
169,2021_2,2021,2,True,3,False,0,False,0,False,False,False
170,2021_3,2021,3,False,0,False,0,False,0,False,False,False
171,2021_4,2021,4,True,2,False,0,False,0,False,False,False
172,2021_5,2021,5,True,3,False,0,False,0,False,False,False
173,2021_6,2021,6,True,8,False,0,False,0,False,False,False
174,2021_7,2021,7,True,7,False,0,False,0,False,False,False
175,2021_8,2021,8,True,6,False,0,False,0,False,False,False
176,2021_9,2021,9,True,3,False,0,False,0,False,False,False
177,2021_10,2021,10,True,1,False,0,False,0,False,False,False
178,2021_11,2021,11,True,1,False,0,False,0,False,False,False
179,2021_12,2021,12,True,6,False,0,False,0,False,False,False
180,2022_1,2022,1,True,5,False,0,False,0,False,False,False
181,2022_2,2022,2,False,0,False,0,False,0,False,False,False
182,2022_3,2022,3,True,6,False,0,False,0,False,False,False
183,2022_4,2022,4,True,2,False,0,False,0,False,False,False
184,2022_5,2022,5,False,0,False,0,False,0,False,False,False
185,2022_6,2022,6,True,4,False,0,False,0,False,False,False
186,2022_7,2022,7,True,8,False,0,False,0,False,False,False
187,2022_8,2022,8,True,8,True,3,True,1,True,False,False
188,2022_9,2022,9,True,3,False,0,False,0,False,False,False
189,2022_10,2022,10,True,5,False,0,False,0,False,False,False
190,2022_11,2022,11,True,1,False,0,False,0,False,False,False
191,2022_12,2022,12,True,6,False,0,False,0,True,False,False
192,2023_1,2023,1,True,9,True,1,False,0,False,False,False
193,2023_2,2023,2,True,10,True,4,False,0,False,False,False
194,2023_3,2023,3,True,9,True,3,False,0,False,False,False
195,2023_4,2023,4,True,7,False,0,False,0,False,False,False
196,2023_5,2023,5,True,7,False,0,False,0,True,False,False
197,2023_6,2023,6,True,9,False,0,False,0,False,False,False
198,2023_7,2023,7,True,9,False,0,False,0,False,False,False
199,2023_8,2023,8,True,10,True,3,False,0,False,False,False
200,2023_9,2023,9,True,10,False,0,False,0,False,False,False
201,2023_10,2023,10,True,10,False,0,False,0,False,False,False
202,2023_11,2023,11,True,2,False,0,False,0,False,False,False
203,2023_12,2023,12,True,9,True,2,False,0,False,False,False
204,2024_1,2024,1,True,8,True,2,False,0,False,False,False
205,2024_2,2024,2,True,7,False,0,False,0,False,False,False
206,2024_3,2024,3,True,10,False,0,False,0,False,False,False
207,2024_4,2024,4,True,5,False,0,False,0,False,False,False
208,2024_5,2024,5,True,7,False,0,False,0,False,False,False
209,2024_6,2024,6,True,8,False,0,False,0,False,False,False
210,2024_7,2024,7,True,1,False,0,False,0,False,False,False
211,2024_8,2024,8,False,0,False,0,False,0,False,False,False
212,2024_9,2024,9,False,0,False,0,False,0,,,
