model,evaluation_type,model_family,n_months,top1_hits,top3_hits,top5_hits,top1_accuracy,top3_accuracy,top5_accuracy,mean_probability_assigned_to_actual_county,median_probability_assigned_to_actual_county,multiclass_log_loss,multiclass_brier_score,top_five_list_changes_over_year,n_unique_top_five_lists,n_distinct_counties_in_top_five_lists
hybrid_longrun_0.75_ew_0.99,recursive_12_month,hybrid_ew,12,1,5,8,0.08333333333333333,0.4166666666666667,0.6666666666666666,0.060013664088342515,0.05760614081935625,4.189249355040194,0.934453882677325,False,1,5
fixed_training_frequency,recursive_12_month,fixed_frequency,12,1,5,8,0.08333333333333333,0.4166666666666667,0.6666666666666666,0.05642359045863215,0.05729164561632909,4.226504994232118,0.9337565194182251,False,1,5
rolling_frequency_120m,recursive_12_month,rolling_frequency,12,1,4,8,0.08333333333333333,0.3333333333333333,0.6666666666666666,0.06249996250002749,0.05833329888891415,4.160026087330338,0.9319097304213146,True,3,6
hybrid_longrun_0.75_ew_0.925,recursive_12_month,hybrid_ew,12,1,5,7,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.06655426339370137,0.05264384324269737,4.097400157097485,0.9486168949086525,True,2,5
hybrid_longrun_0.75_ew_0.9,recursive_12_month,hybrid_ew,12,1,5,7,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.06671553758541905,0.05048234324442889,4.101236117768942,0.9555984580136959,True,2,5
hybrid_longrun_0.75_ew_0.95,recursive_12_month,hybrid_ew,12,1,5,7,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.06575965583160297,0.054477660952012064,4.101812100703741,0.9412715802646022,False,1,5
hybrid_longrun_0.25_ew_0.99,recursive_12_month,hybrid_ew,12,1,5,7,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.06399202894285744,0.060327598572034916,4.130326555513299,0.9335707677556098,False,1,5
hybrid_longrun_0.75_seasonal,recursive_12_month,hybrid_seasonal,12,1,5,7,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.05664054635994644,0.06249991210976977,4.134450719923269,0.9362284384225122,True,11,10
hybrid_longrun_0.75_ew_0.975,recursive_12_month,hybrid_ew,12,1,5,7,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.06311480732608576,0.05709658182910601,4.13680869064496,0.9352464443283427,False,1,5
hybrid_longrun_0.5_seasonal,recursive_12_month,hybrid_seasonal,12,0,5,7,0.0,0.4166666666666667,0.5833333333333334,0.05685750226126074,0.062499847657028804,4.149784732249912,0.9445121967083087,True,12,14
hybrid_longrun_0.5_ew_0.99,recursive_12_month,hybrid_ew,12,1,5,7,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.06200284651559997,0.05839220097413242,4.156641376918898,0.9338329992330441,False,1,5
hybrid_longrun_0.25_seasonal,recursive_12_month,hybrid_seasonal,12,1,5,7,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.05707445816257503,0.06249978320428784,4.263801662471869,0.9586077942756148,True,12,14
softmax_seasonal_lag12,recursive_12_month,scored_softmax,12,0,4,7,0.0,0.3333333333333333,0.5833333333333334,0.04437156312036029,0.02824999520847131,3.812201808355182,1.1139204675322163,True,12,14
softmax_seasonal_heavy,recursive_12_month,scored_softmax,12,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.05169388436239438,0.020264643291491392,4.00342821066003,1.193682029117916,True,12,15
hybrid_longrun_0.25_ew_0.975,recursive_12_month,hybrid_ew,12,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.07329545865608722,0.06156390718247007,4.050779343667048,0.9429784251335912,False,1,5
ew_frequency_lambda_0.975,recursive_12_month,ew_frequency,12,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.07838578432108795,0.06169228426182445,4.054431262441124,0.9508973796989498,False,1,5
hybrid_longrun_0.5_ew_0.95,recursive_12_month,hybrid_ew,12,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.07349483000212091,0.05608023344432546,4.056423833477733,0.9568097028515289,False,1,5
hybrid_longrun_0.5_ew_0.975,recursive_12_month,hybrid_ew,12,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.06820513299108648,0.05905083571805933,4.080872614834177,0.9377614466767223,True,2,5
hybrid_longrun_0.5_ew_0.925,recursive_12_month,hybrid_ew,12,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.07508404512631771,0.0515616944681207,4.083267946297581,0.9791636511357439,True,2,6
hybrid_longrun_0.75_ew_0.875,recursive_12_month,hybrid_ew,12,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.06662697711250481,0.04833079062652119,4.1071860849975295,0.961933756411644,True,2,5
ew_frequency_lambda_0.99,recursive_12_month,ew_frequency,12,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.06598121137011491,0.060260560942708104,4.109720215261158,0.9336671882450225,False,1,5
hybrid_longrun_0.75_ew_0.85,recursive_12_month,hybrid_ew,12,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.06642111344544833,0.04633370436756078,4.1136536525538,0.9675943881380084,True,2,5
hybrid_longrun_0.5_ew_0.9,recursive_12_month,hybrid_ew,12,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.07540659350975308,0.047363343103853664,4.120051657808217,1.00039283823586,True,2,6
hybrid_longrun_0.75_ew_0.8,recursive_12_month,hybrid_ew,12,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.06589245472211047,0.04396010928491281,4.125866201401886,0.9770142898300991,True,3,5
hybrid_longrun_0.5_ew_0.85,recursive_12_month,hybrid_ew,12,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.07978995688197281,0.04074091472436685,4.133977165790044,1.0162984305863711,False,1,5
hybrid_longrun_0.5_ew_0.875,recursive_12_month,hybrid_ew,12,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.07522947256392458,0.043758015117418364,4.155507311899642,1.0197304439876824,False,1,5
hybrid_longrun_0.5_ew_0.8,recursive_12_month,hybrid_ew,12,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.07776286775697122,0.036258527780526115,4.188399428270679,1.0505200448566916,False,1,5
softmax_long_recent_seasonal,recursive_12_month,scored_softmax,12,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.08184901576203621,0.007342363862138348,4.696348362495947,1.476124582042518,True,12,12
rolling_frequency_60m,recursive_12_month,rolling_frequency,12,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.08888877518535195,0.0833332277779326,4.93047130262016,0.9329166027040113,True,4,6
rolling_frequency_84m,recursive_12_month,rolling_frequency,12,2,4,7,0.16666666666666666,0.3333333333333333,0.5833333333333334,0.0744046958617472,0.07142850850346728,5.116783826787036,0.9197137311440947,False,1,5
rolling_frequency_24m,recursive_12_month,rolling_frequency,12,2,4,7,0.16666666666666666,0.3333333333333333,0.5833333333333334,0.11111074537171141,0.041666555555962964,8.324420890108739,1.0376146500845003,True,5,6
hybrid_longrun_0.25_ew_0.925,recursive_12_month,hybrid_ew,12,2,4,6,0.16666666666666666,0.3333333333333333,0.5,0.10339481327725734,0.047078185972173364,4.048933580361896,0.9858759821988882,False,1,5
hybrid_longrun_0.25_ew_0.95,recursive_12_month,hybrid_ew,12,1,4,6,0.08333333333333333,0.3333333333333333,0.5,0.08123000417263883,0.05385599443648051,4.061894083962959,0.9820477858492332,False,1,5
hybrid_longrun_0.25_ew_0.9,recursive_12_month,hybrid_ew,12,2,4,6,0.16666666666666666,0.3333333333333333,0.5,0.10880627902303007,0.04078065892577282,4.123377551412784,1.0193493898102106,False,1,5
ew_frequency_lambda_0.95,recursive_12_month,ew_frequency,12,2,4,6,0.16666666666666666,0.3333333333333333,0.5,0.10718787061122131,0.05163175542863556,4.1433243294245585,0.98342026299252,False,1,5
hybrid_longrun_0.25_ew_0.875,recursive_12_month,hybrid_ew,12,1,4,6,0.08333333333333333,0.3333333333333333,0.5,0.09121606808761022,0.035372666946119874,4.271842839771825,1.0919155878080533,True,3,6
hybrid_longrun_0.25_ew_0.85,recursive_12_month,hybrid_ew,12,1,4,6,0.08333333333333333,0.3333333333333333,0.5,0.09008156173290775,0.030847016356542592,4.3485445395090965,1.1347153791773053,True,3,6
ew_frequency_lambda_0.925,recursive_12_month,ew_frequency,12,2,4,6,0.16666666666666666,0.3333333333333333,0.5,0.11781869405203776,0.04259467747622604,4.442859135539336,1.049035666129705,False,1,5
hybrid_longrun_0.25_ew_0.8,recursive_12_month,hybrid_ew,12,1,4,6,0.08333333333333333,0.3333333333333333,0.5,0.08704092804540536,0.024123435940781486,4.476126804830055,1.2082515142659345,True,2,6
ew_frequency_lambda_0.9,recursive_12_month,ew_frequency,12,2,4,6,0.16666666666666666,0.3333333333333333,0.5,0.12503398171306807,0.03419797474769197,4.812724127060409,1.1110117649921358,False,1,5
ew_frequency_lambda_0.875,recursive_12_month,ew_frequency,12,1,4,6,0.08333333333333333,0.3333333333333333,0.5,0.10188584172344596,0.02698731877482137,5.3053255232269025,1.2285072214611494,False,1,5
ew_frequency_lambda_0.85,recursive_12_month,ew_frequency,12,1,4,6,0.08333333333333333,0.3333333333333333,0.5,0.1003731665838427,0.020953117988718337,5.679691436072109,1.3030454508198717,False,1,5
ew_frequency_lambda_0.8,recursive_12_month,ew_frequency,12,1,4,6,0.08333333333333333,0.3333333333333333,0.5,0.09631898833383949,0.011988344101036861,6.283948414220622,1.430698582515577,False,1,5
rolling_frequency_36m,recursive_12_month,rolling_frequency,12,1,3,6,0.08333333333333333,0.25,0.5,0.09259239403340719,0.05555544753112827,4.91701390676534,0.9768515123474092,True,2,5
softmax_recent_lag1,recursive_12_month,scored_softmax,12,1,3,6,0.08333333333333333,0.25,0.5,0.08557580483988503,0.0019720554317207662,5.87180857684438,1.6389141125341469,True,9,8
softmax_recent_heavy,recursive_12_month,scored_softmax,12,1,3,6,0.08333333333333333,0.25,0.5,0.08621418578564072,0.0011164419675221884,6.234015250613322,1.6626822179711505,True,9,8
seasonal_same_month_frequency,recursive_12_month,seasonal_frequency,12,0,3,6,0.0,0.25,0.5,0.05729141406388932,0.06249971875154687,7.204477071406335,0.9785152311244305,True,12,21
rolling_frequency_12m,recursive_12_month,rolling_frequency,12,2,5,5,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.11805477315388575,8.333272222670366e-08,11.362838828042207,1.2210598411098312,True,5,7
fixed_training_frequency,one_step_actual_lags,fixed_frequency,12,1,5,8,0.08333333333333333,0.4166666666666667,0.6666666666666666,0.05642359045863215,0.05729164561632909,4.226504994232118,0.9337565194182251,False,1,5
hybrid_longrun_0.75_ew_0.99,one_step_actual_lags,hybrid_ew,12,1,4,8,0.08333333333333333,0.3333333333333333,0.6666666666666666,0.057299548241847305,0.06058154609077775,4.195785086477181,0.9337148663508752,True,3,5
softmax_long_recent_seasonal,one_step_actual_lags,scored_softmax,12,0,3,8,0.0,0.25,0.6666666666666666,0.05292249377893806,0.040439139156012674,3.5786079815094936,1.084203596198808,True,12,11
hybrid_longrun_0.75_seasonal,one_step_actual_lags,hybrid_seasonal,12,1,5,7,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.05664054635994644,0.06249991210976977,4.134450719923269,0.9362284384225122,True,11,10
hybrid_longrun_0.5_seasonal,one_step_actual_lags,hybrid_seasonal,12,0,5,7,0.0,0.4166666666666667,0.5833333333333334,0.05685750226126074,0.062499847657028804,4.149784732249912,0.9445121967083087,True,12,14
hybrid_longrun_0.25_seasonal,one_step_actual_lags,hybrid_seasonal,12,1,5,7,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.05707445816257503,0.06249978320428784,4.263801662471869,0.9586077942756148,True,12,14
softmax_seasonal_lag12,one_step_actual_lags,scored_softmax,12,0,4,7,0.0,0.3333333333333333,0.5833333333333334,0.04337319345632621,0.026771236341392505,3.797770837059456,1.0754910406217533,True,12,15
softmax_seasonal_heavy,one_step_actual_lags,scored_softmax,12,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.04902400271164606,0.024005279852186628,3.8859257226375443,1.1267128199863017,True,12,15
hybrid_longrun_0.75_ew_0.975,one_step_actual_lags,hybrid_ew,12,1,4,7,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.059182349150627846,0.06130715302376131,4.14348852383237,0.9330327381157617,True,4,6
rolling_frequency_60m,one_step_actual_lags,rolling_frequency,12,0,4,7,0.0,0.3333333333333333,0.5833333333333334,0.08194434092607776,0.0833332277779326,4.93991536434217,0.9244444257038967,True,8,7
rolling_frequency_120m,one_step_actual_lags,rolling_frequency,12,1,2,7,0.08333333333333333,0.16666666666666666,0.5833333333333334,0.059027742824099706,0.06666662611114085,4.1745361218310935,0.9327083454537161,True,8,6
rolling_frequency_84m,one_step_actual_lags,rolling_frequency,12,0,1,7,0.0,0.08333333333333333,0.5833333333333334,0.06448407133414749,0.0714285085034673,5.184172160985086,0.9310515966553723,True,9,7
hybrid_longrun_0.25_ew_0.95,one_step_actual_lags,hybrid_ew,12,0,4,6,0.0,0.3333333333333333,0.5,0.06786707140145283,0.06500348352918511,4.040098828909438,0.9454726074795038,True,8,8
hybrid_longrun_0.25_ew_0.925,one_step_actual_lags,hybrid_ew,12,0,4,6,0.0,0.3333333333333333,0.5,0.06556940774114203,0.06216900765047045,4.0827278552245625,0.95946115845583,True,9,8
rolling_frequency_24m,one_step_actual_lags,rolling_frequency,12,2,4,6,0.16666666666666666,0.3333333333333333,0.5,0.0763886504638372,0.06249981250068749,7.234956398661928,0.975983412232925,True,6,6
ew_frequency_lambda_0.99,one_step_actual_lags,ew_frequency,12,1,3,6,0.08333333333333333,0.25,0.5,0.06136128910745097,0.06328719924268955,4.119299296192941,0.9314378673793429,True,6,7
ew_frequency_lambda_0.95,one_step_actual_lags,ew_frequency,12,1,3,6,0.08333333333333333,0.25,0.5,0.07184088366194398,0.06833939427177088,4.175281236819459,0.9557744397558539,True,8,8
ew_frequency_lambda_0.925,one_step_actual_lags,ew_frequency,12,1,3,6,0.08333333333333333,0.25,0.5,0.0687773321148629,0.06456009310015132,4.425887786879989,0.9774970948743914,True,9,8
seasonal_same_month_frequency,one_step_actual_lags,seasonal_frequency,12,0,3,6,0.0,0.25,0.5,0.05729141406388932,0.06249971875154687,7.204477071406335,0.9785152311244305,True,12,21
softmax_recent_heavy,one_step_actual_lags,scored_softmax,12,0,4,5,0.0,0.3333333333333333,0.4166666666666667,0.06415439651101312,0.02842559277674119,3.7481067739854006,1.1307526330492432,True,12,8
hybrid_longrun_0.5_ew_0.95,one_step_actual_lags,hybrid_ew,12,0,4,5,0.0,0.3333333333333333,0.4166666666666667,0.0638932591409617,0.06166757278659936,4.04961050531711,0.9385785548133615,True,8,7
hybrid_longrun_0.5_ew_0.925,one_step_actual_lags,hybrid_ew,12,0,4,5,0.0,0.3333333333333333,0.4166666666666667,0.06236148336742115,0.05977792220078958,4.059693720755262,0.9463686285558607,True,9,8
hybrid_longrun_0.5_ew_0.9,one_step_actual_lags,hybrid_ew,12,0,4,5,0.0,0.3333333333333333,0.4166666666666667,0.06015801210433306,0.056924287018872075,4.08082429218901,0.9537896812171064,True,10,9
hybrid_longrun_0.75_ew_0.9,one_step_actual_lags,hybrid_ew,12,1,4,5,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.058051823362156245,0.05664902600675538,4.093922007366639,0.941282571645159,True,7,7
hybrid_longrun_0.75_ew_0.925,one_step_actual_lags,hybrid_ew,12,1,4,5,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.059153558993700305,0.058393965093505806,4.095232145171096,0.9382195051744836,True,7,7
hybrid_longrun_0.75_ew_0.875,one_step_actual_lags,hybrid_ew,12,1,4,5,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.056942865690957876,0.05508214039525823,4.095278141394476,0.9441319634646298,True,8,7
hybrid_longrun_0.75_ew_0.8,one_step_actual_lags,hybrid_ew,12,0,4,5,0.0,0.3333333333333333,0.4166666666666667,0.05416875167100735,0.05139361181489516,4.1045334484548865,0.9515020012304894,True,11,8
hybrid_longrun_0.75_ew_0.95,one_step_actual_lags,hybrid_ew,12,1,4,5,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.05991944688047055,0.06016229514197975,4.1048328491506565,0.9350922817574263,True,6,7
hybrid_longrun_0.5_ew_0.99,one_step_actual_lags,hybrid_ew,12,1,4,5,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.058653461863715194,0.06142160306507553,4.164311595812301,0.9326859055418747,True,5,6
softmax_recent_lag1,one_step_actual_lags,scored_softmax,12,0,3,5,0.0,0.25,0.4166666666666667,0.05080168955694955,0.029063935653869496,3.6711783493681924,1.0800017719251984,True,12,8
hybrid_longrun_0.25_ew_0.975,one_step_actual_lags,hybrid_ew,12,0,3,5,0.0,0.25,0.4166666666666667,0.06565577821192471,0.06387931611299473,4.055139770067336,0.9332260774315652,True,9,7
ew_frequency_lambda_0.975,one_step_actual_lags,ew_frequency,12,0,3,5,0.0,0.25,0.4166666666666667,0.06889249274257316,0.06932302735111559,4.055856637520336,0.9354004669433064,True,9,7
hybrid_longrun_0.5_ew_0.975,one_step_actual_lags,hybrid_ew,12,1,3,5,0.08333333333333333,0.25,0.4166666666666667,0.06241906368127628,0.0614355301031157,4.087084296076843,0.9324368344890502,True,7,7
hybrid_longrun_0.75_ew_0.85,one_step_actual_lags,hybrid_ew,12,1,3,5,0.08333333333333333,0.25,0.4166666666666667,0.05591230906148171,0.05369685179523695,4.097855550522579,0.946772936656345,True,8,7
hybrid_longrun_0.5_ew_0.875,one_step_actual_lags,hybrid_ew,12,0,3,5,0.0,0.25,0.4166666666666667,0.057940096761936344,0.05368018898202006,4.103188928803477,0.9607630799487175,True,11,8
hybrid_longrun_0.25_ew_0.99,one_step_actual_lags,hybrid_ew,12,1,3,5,0.08333333333333333,0.25,0.4166666666666667,0.06000737548558308,0.062017642587914645,4.139008993971955,0.9319269058846973,True,6,6
hybrid_longrun_0.25_ew_0.9,one_step_actual_lags,hybrid_ew,12,0,3,5,0.0,0.25,0.4166666666666667,0.06226420084650988,0.0578885548775942,4.140213346885242,0.9725351170275411,True,11,9
rolling_frequency_36m,one_step_actual_lags,rolling_frequency,12,2,3,5,0.16666666666666666,0.25,0.4166666666666667,0.08101834825144502,0.08333315740783745,4.913868899732571,0.9453445213200475,True,5,7
hybrid_longrun_0.5_ew_0.85,one_step_actual_lags,hybrid_ew,12,0,2,5,0.0,0.16666666666666666,0.4166666666666667,0.055878983502984,0.050306975043619015,4.125065785736552,0.9673992494262466,True,12,9
hybrid_longrun_0.5_ew_0.8,one_step_actual_lags,hybrid_ew,12,0,3,4,0.0,0.25,0.3333333333333333,0.05239186872203527,0.04383897186076276,4.167163892027744,0.9799265146700101,True,12,9
hybrid_longrun_0.25_ew_0.875,one_step_actual_lags,hybrid_ew,12,0,3,4,0.0,0.25,0.3333333333333333,0.05893732783291481,0.05302240782231618,4.197795750881252,0.9849071377639627,True,12,10
ew_frequency_lambda_0.9,one_step_actual_lags,ew_frequency,12,0,3,4,0.0,0.25,0.3333333333333333,0.0643703895886867,0.058852822736316326,4.737218580592847,0.9975188790764627,True,12,10
ew_frequency_lambda_0.875,one_step_actual_lags,ew_frequency,12,0,3,4,0.0,0.25,0.3333333333333333,0.05993455890389327,0.05236462666261229,5.075223033193858,1.0165641369103653,True,12,10
hybrid_longrun_0.25_ew_0.85,one_step_actual_lags,hybrid_ew,12,0,2,4,0.0,0.16666666666666666,0.3333333333333333,0.05584565794448628,0.04796258691471461,4.251360085616465,0.9968927266214042,True,12,10
hybrid_longrun_0.25_ew_0.8,one_step_actual_lags,hybrid_ew,12,0,2,4,0.0,0.16666666666666666,0.3333333333333333,0.05061498577306322,0.038260582140430224,4.348752892970922,1.0202873286302616,True,12,10
ew_frequency_lambda_0.85,one_step_actual_lags,ew_frequency,12,0,2,4,0.0,0.16666666666666666,0.3333333333333333,0.05581233238598857,0.04561819878581021,5.359091345549001,1.0352533682418168,True,12,10
ew_frequency_lambda_0.8,one_step_actual_lags,ew_frequency,12,0,1,4,0.0,0.08333333333333333,0.3333333333333333,0.048838102824091144,0.031008645238733673,5.772297733457939,1.0725844431112435,True,12,10
rolling_frequency_12m,one_step_actual_lags,rolling_frequency,12,0,0,3,0.0,0.0,0.25,0.048610837964966035,0.04166644444607406,9.334906538696805,1.0590261990934426,True,9,8
